GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
starts-core,edu.illinois.starts.maven,JavaAgent,53,0,6,0,12,0,6,0,3,0
starts-core,edu.illinois.starts.maven,MavenCFT.MavenClassVisitor,39,0,4,0,8,0,4,0,2,0
starts-core,edu.illinois.starts.maven,SurefireMojoInterceptor,105,0,8,0,31,0,10,0,6,0
starts-core,edu.illinois.starts.maven,AgentLoader,269,0,20,0,44,0,22,0,12,0
starts-core,edu.illinois.starts.maven,AbstractMojoInterceptor,117,0,0,0,25,0,9,0,9,0
starts-core,edu.illinois.starts.maven,MavenCFT,44,0,4,0,9,0,5,0,3,0
starts-core,edu.illinois.starts.maven,MavenCFT.MavenMethodVisitor,37,0,0,0,10,0,2,0,2,0
starts-core,edu.illinois.starts.constants,StartsConstants,10,0,0,0,1,0,1,0,1,0
starts-core,edu.illinois.starts.enums,DependencyFormat,38,0,0,0,3,0,4,0,4,0
starts-core,edu.illinois.starts.util,ChecksumUtil,277,0,24,0,53,0,23,0,11,0
starts-core,edu.illinois.starts.util,ChecksumUtil.StartsStorer,20,0,0,0,6,0,2,0,2,0
starts-core,edu.illinois.starts.util,Pair,77,0,8,0,20,0,11,0,7,0
starts-core,edu.illinois.starts.util,Logger,48,23,3,1,10,7,5,4,3,4
starts-core,edu.illinois.starts.data,ZLCData,100,0,10,0,20,0,10,0,5,0
starts-core,edu.illinois.starts.helpers,FileUtil,29,0,4,0,6,0,4,0,2,0
starts-core,edu.illinois.starts.helpers,YasglHelper,80,101,5,9,21,23,7,7,3,4
starts-core,edu.illinois.starts.helpers,Writer,633,307,91,25,85,58,60,16,8,10
starts-core,edu.illinois.starts.helpers,RTSUtil,241,0,12,0,43,0,13,0,7,0
starts-core,edu.illinois.starts.helpers,EkstaziHelper,327,0,22,0,58,0,20,0,9,0
starts-core,edu.illinois.starts.helpers,Cache,332,0,26,0,68,0,22,0,9,0
starts-core,edu.illinois.starts.helpers,ZLCHelper,434,0,34,0,96,0,24,0,7,0
starts-core,edu.illinois.starts.helpers,PomUtil,219,0,32,0,53,0,23,0,7,0
starts-core,edu.illinois.starts.helpers,YasglHelper.new GraphVertexVisitor() {...},4,0,0,0,2,0,2,0,2,0
starts-core,edu.illinois.starts.helpers,Loadables,580,0,44,0,109,0,36,0,14,0
starts-core,edu.illinois.starts.helpers,YasglHelper.new GraphVertexVisitor() {...},4,0,0,0,2,0,2,0,2,0
starts-core,edu.illinois.starts.asm,FieldWriter,517,0,76,0,116,0,45,0,7,0
starts-core,edu.illinois.starts.asm,Context,3,0,0,0,1,0,1,0,1,0
starts-core,edu.illinois.starts.asm,AnnotationVisitor,71,0,14,0,23,0,14,0,7,0
starts-core,edu.illinois.starts.asm,ByteVector,605,0,50,0,122,0,37,0,12,0
starts-core,edu.illinois.starts.asm,MethodWriter,6110,0,797,0,1278,0,469,0,50,0
starts-core,edu.illinois.starts.asm,ClassWriter,2302,0,218,0,477,0,154,0,45,0
starts-core,edu.illinois.starts.asm,TypePath,200,0,29,0,43,0,22,0,6,0
starts-core,edu.illinois.starts.asm,ClassReader,5592,0,630,0,1178,0,393,0,39,0
starts-core,edu.illinois.starts.asm,Opcodes,36,0,0,0,7,0,1,0,1,0
starts-core,edu.illinois.starts.asm,Attribute,125,0,6,0,35,0,12,0,9,0
starts-core,edu.illinois.starts.asm,Handle,105,0,12,0,19,0,14,0,8,0
starts-core,edu.illinois.starts.asm,Item,303,0,35,0,66,0,32,0,11,0
starts-core,edu.illinois.starts.asm,MethodVisitor,423,0,86,0,120,0,76,0,33,0
starts-core,edu.illinois.starts.asm,TypeReference,144,0,0,0,21,0,18,0,18,0
starts-core,edu.illinois.starts.asm,Frame,1706,0,259,0,443,0,181,0,16,0
starts-core,edu.illinois.starts.asm,ClassVisitor,142,0,26,0,40,0,25,0,12,0
starts-core,edu.illinois.starts.asm,FieldVisitor,71,0,14,0,22,0,13,0,6,0
starts-core,edu.illinois.starts.asm,AnnotationWriter,801,0,80,0,144,0,51,0,10,0
starts-core,edu.illinois.starts.asm,Label,448,0,58,0,93,0,40,0,11,0
starts-core,edu.illinois.starts.asm,Edge,3,0,0,0,1,0,1,0,1,0
starts-core,edu.illinois.starts.asm,Type,982,0,156,0,228,0,124,0,36,0
starts-core,edu.illinois.starts.asm,Handler,94,0,14,0,25,0,9,0,2,0
